t,hip_L.q,abduct_L.q,hip_R.q,abduct_R.q
0.089000,0.382969207,0.000381567,0.007395611,-0.009729698
0.090000,0.382867776,0.000391201,0.009877544,-0.009880330
0.091000,0.382763935,0.000401033,0.012371294,-0.010030982
0.092000,0.382657571,0.000411068,0.014876662,-0.010181634
0.093000,0.382548568,0.000421308,0.017393442,-0.010332269
0.094000,0.382436810,0.000431755,0.019921430,-0.010482865
0.095000,0.382322182,0.000442413,0.022460418,-0.010633406
0.096000,0.382204568,0.000453285,0.025010197,-0.010783872
0.097000,0.382083849,0.000464372,0.027570558,-0.010934244
0.098000,0.381959909,0.000475679,0.030141289,-0.011084504
0.099000,0.381832631,0.000487207,0.032722176,-0.011234634
0.100000,0.381701896,0.000498960,0.035313005,-0.011384615
0.101000,0.381567586,0.000510940,0.037913561,-0.011534429
0.102000,0.381429583,0.000523150,0.040523625,-0.011684058
0.103000,0.381287768,0.000535592,0.043142981,-0.011833484
0.104000,0.381142022,0.000548268,0.045771409,-0.011982690
0.105000,0.380992225,0.000561183,0.048408688,-0.012131657
0.106000,0.380838259,0.000574337,0.051054598,-0.012280367
0.107000,0.380680004,0.000587734,0.053708917,-0.012428804
0.108000,0.380517340,0.000601376,0.056371420,-0.012576949
0.109000,0.380350148,0.000615265,0.059041886,-0.012724786
0.110000,0.380178307,0.000629404,0.061720088,-0.012872295
0.111000,0.380001699,0.000643796,0.064405801,-0.013019462
0.112000,0.379820204,0.000658442,0.067098800,-0.013166267
0.113000,0.379633701,0.000673345,0.069798858,-0.013312693
0.114000,0.379442071,0.000688507,0.072505748,-0.013458725
0.115000,0.379245194,0.000703931,0.075219242,-0.013604344
0.116000,0.379042952,0.000719619,0.077939112,-0.013749533
0.117000,0.378835223,0.000735572,0.080665130,-0.013894275
0.118000,0.378621889,0.000751794,0.083397065,-0.014038555
0.119000,0.378402832,0.000768287,0.086134690,-0.014182353
0.120000,0.378177931,0.000785051,0.088877774,-0.014325655
0.121000,0.377947068,0.000802091,0.091626087,-0.014468443
0.122000,0.377710125,0.000819407,0.094379400,-0.014610700
0.123000,0.377466983,0.000837003,0.097137481,-0.014752410
0.124000,0.377217524,0.000854879,0.099900101,-0.014893556
0.125000,0.376961631,0.000873038,0.102667029,-0.015034121
0.126000,0.376699186,0.000891482,0.105438034,-0.015174090
0.127000,0.376430072,0.000910213,0.108212886,-0.015313446
0.128000,0.376154173,0.000929233,0.110991354,-0.015452172
