t,abduct_L.q,abduct_L.w,abduct_R.q,abduct_R.w,hip_L.q,hip_L.w,hip_R.q,hip_R.w
5.134075576573e-04,6.288880867009e-07,2.449828651715e-03,-7.142323714378e-07,-2.782285914253e-03,-3.452879789619e-06,-1.345063625176e-02,-3.456412055738e-06,-1.346439592739e-02
5.925222444912e-04,8.376390092102e-07,2.827343789035e-03,-9.513120933408e-07,-3.211031670402e-03,-4.599013188101e-06,-1.552333670696e-02,-4.603717914499e-06,-1.553921654143e-02
6.920000436040e-04,1.142507244866e-06,3.302028560876e-03,-1.297552768191e-06,-3.750133090745e-03,-6.272869271234e-06,-1.812952047444e-02,-6.279286280381e-06,-1.814806606482e-02
7.914778427169e-04,1.494596207230e-06,3.776715953043e-03,-1.697422191154e-06,-4.289237030612e-03,-8.205982565007e-06,-2.073569992674e-02,-8.214377033767e-06,-2.075691113900e-02
8.909556418298e-04,1.893906175700e-06,4.251406342199e-03,-2.150920630881e-06,-4.828343852168e-03,-1.039835260930e-05,-2.334187444352e-02,-1.040898970025e-05,-2.336575112436e-02
9.904334409426e-04,2.340437467144e-06,4.726100104991e-03,-2.658048392048e-06,-5.367453917572e-03,-1.284997888229e-05,-2.594804340445e-02,-1.286312374178e-05,-2.597458538131e-02
1.089911240056e-03,2.834190435898e-06,5.200797618062e-03,-3.218805815358e-06,-5.906567588968e-03,-1.556086080042e-05,-2.855420618919e-02,-1.557677855671e-05,-2.858341327022e-02
1.189389039168e-03,3.375165473764e-06,5.675499258038e-03,-3.833193277542e-06,-6.445685228489e-03,-1.853099771846e-05,-3.116036217738e-02,-1.854995347974e-05,-3.119223415149e-02
1.288866838281e-03,3.963363010011e-06,6.150205401536e-03,-4.501211191349e-06,-6.984807198257e-03,-2.176038892945e-05,-3.376651074868e-02,-2.178264778195e-05,-3.380104738550e-02
1.388344637394e-03,4.598783511370e-06,6.624916425159e-03,-5.222860005555e-06,-7.523933860375e-03,-2.524903366470e-05,-3.637265128273e-02,-2.527486067080e-05,-3.640985233264e-02
1.487822436507e-03,5.281427482037e-06,7.099632705492e-03,-5.998140204953e-06,-8.063065576932e-03,-2.899693109384e-05,-3.897878315918e-02,-2.902659129011e-05,-3.901864835327e-02
1.587300235620e-03,6.011295463667e-06,7.574354619107e-03,-6.827052310358e-06,-8.602202709999e-03,-3.300408032477e-05,-4.158490575764e-02,-3.303783872007e-05,-4.162743480777e-02
1.686778034733e-03,6.788388035377e-06,8.049082542557e-03,-7.709596878599e-06,-9.141345621629e-03,-3.727048040368e-05,-4.419101845775e-02,-3.730860197727e-05,-4.423621105649e-02
1.786255833846e-03,7.612705813741e-06,8.523816852377e-03,-8.645774502524e-06,-9.680494673855e-03,-4.179613031504e-05,-4.679712063913e-02,-4.183888001462e-05,-4.684497645980e-02
1.885733632958e-03,8.484249452787e-06,8.998557925083e-03,-9.635585810990e-06,-1.021965022869e-02,-4.658102898163e-05,-4.940321168137e-02,-4.662867172144e-05,-4.945373037804e-02
1.985211432071e-03,9.403019644000e-06,9.473306137168e-03,-1.067903146887e-05,-1.075881264812e-02,-5.162517526448e-05,-5.200929096410e-02,-5.167797592341e-05,-5.206247217155e-02
2.084689231184e-03,1.036901711631e-05,9.948061865105e-03,-1.177611217704e-05,-1.129798229411e-02,-5.692856796292e-05,-5.461535786689e-02,-5.698679138256e-05,-5.467120120067e-02
2.184167030297e-03,1.138224263611e-05,1.042282548534e-02,-1.292682867238e-05,-1.183715952860e-02,-6.249120581458e-05,-5.722141176934e-02,-6.255511679730e-05,-5.727991682572e-02
2.283644829410e-03,1.244269700723e-05,1.089759737431e-02,-1.413118172779e-05,-1.237634471351e-02,-6.831308749533e-05,-5.982745205102e-02,-6.838295080242e-05,-5.988861840702e-02
2.383122628523e-03,1.355038107094e-05,1.137237790840e-02,-1.538917215215e-05,-1.291553821073e-02,-7.439421161937e-05,-6.243347809148e-02,-7.447029196904e-05,-6.249730530489e-02
2.482600427636e-03,1.470529570596e-05,1.184716746399e-02,-1.670080079035e-05,-1.345474038210e-02,-8.073457673913e-05,-6.503948927030e-02,-8.081713880469e-05,-6.510597687961e-02
2.582078226749e-03,1.590744182846e-05,1.232196641742e-02,-1.806606852328e-05,-1.399395158947e-02,-8.733418134537e-05,-6.764548496701e-02,-8.742348975322e-05,-6.771463249148e-02
2.681556025861e-03,1.715682039202e-05,1.279677514502e-02,-1.948497626781e-05,-1.453317219463e-02,-9.419302386709e-05,-7.025146456115e-02,-9.428934319488e-05,-7.032327150079e-02
2.781033824974e-03,1.845343238767e-05,1.327159402306e-02,-2.095752497681e-05,-1.507240255934e-02,-1.013111026716e-04,-7.285742743223e-02,-1.014146974462e-04,-7.293189326779e-02
2.880511624087e-03,1.979727884387e-05,1.374642342780e-02,-2.248371563913e-05,-1.561164304533e-02,-1.086884160644e-04,-7.546337295976e-02,-1.087995507603e-04,-7.554049715275e-02
2.979989423200e-03,2.118836082651e-05,1.422126373547e-02,-2.406354927959e-05,-1.615089401431e-02,-1.163249622894e-04,-7.806930052325e-02,-1.164439013263e-04,-7.814908251591e-02
3.079467222313e-03,2.262667943890e-05,1.469611532225e-02,-2.569702695902e-05,-1.669015582793e-02,-1.242207395287e-04,-8.067520950217e-02,-1.243477472699e-04,-8.075764871751e-02
3.178945021426e-03,2.411223582176e-05,1.517097856430e-02,-2.738414977421e-05,-1.722942884781e-02,-1.323757459027e-04,-8.328109927599e-02,-1.325110866533e-04,-8.336619511778e-02
3.278422820539e-03,2.564503115325e-05,1.564585383773e-02,-2.912491885790e-05,-1.776871343555e-02,-1.407899794699e-04,-8.588696922417e-02,-1.409339174747e-04,-8.597472107692e-02
3.377900619651e-03,2.722506664893e-05,1.612074151863e-02,-3.091933537883e-05,-1.830800995267e-02,-1.494634382275e-04,-8.849281872615e-02,-1.496162376689e-04,-8.858322595514e-02
3.498104663408e-03,2.919733438406e-05,1.669458937202e-02,-3.315919923188e-05,-1.895968559331e-02,-1.602898791974e-04,-9.164156996166e-02,-1.604537387456e-04,-9.173518494050e-02
3.618308707164e-03,3.123858211336e-05,1.726845655413e-02,-3.547739824908e-05,-1.961137981774e-02,-1.714948108841e-04,-9.479028934241e-02,-1.716701160641e-04,-9.488711108231e-02
3.738512750920e-03,3.334881220009e-05,1.784234372827e-02,-3.787393470259e-05,-2.026309326361e-02,-1.830782293926e-04,-9.793897577346e-02,-1.832653656086e-04,-9.803900325166e-02
3.858716794676e-03,3.552802708723e-05,1.841625155763e-02,-4.034881094123e-05,-2.091482656844e-02,-1.950401306965e-04,-1.010876281598e-01,-1.952394832277e-04,-1.011908603196e-01
3.978920838432e-03,3.777622929748e-05,1.899018070534e-02,-4.290202939044e-05,-2.156658036967e-02,-2.073805106377e-04,-1.042362454064e-01,-2.075924646343e-04,-1.043426811572e-01
4.099124882188e-03,4.009342143324e-05,1.956413183441e-02,-4.553359255226e-05,-2.221835530464e-02,-2.200993649264e-04,-1.073848264183e-01,-2.203243054053e-04,-1.074944646355e-01
